index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
1.0,Ag35Ca65,BMG,Ag,Ca,0,0,0,0,0,0,2,35,65,0,0,0,0,0,0
86.0,Al90Co10,CRA,Al,Co,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
90.0,Al90La10,RMG,Al,La,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
117.0,Al94Nd6,CRA,Al,Nd,0,0,0,0,0,0,2,94,6,0,0,0,0,0,0
120.0,Al95Ce5,CRA,Al,Ce,0,0,0,0,0,0,2,95,5,0,0,0,0,0,0
126.0,Al96Ni4,CRA,Al,Ni,0,0,0,0,0,0,2,96,4,0,0,0,0,0,0
131.0,Al98Mn2,CRA,Al,Mn,0,0,0,0,0,0,2,98,2,0,0,0,0,0,0
138.0,B12Co88,RMG,B,Co,0,0,0,0,0,0,2,12,88,0,0,0,0,0,0
218.0,Be50Zr50,RMG,Be,Zr,0,0,0,0,0,0,2,50,50,0,0,0,0,0,0
223.0,C15Ni85,CRA,C,Ni,0,0,0,0,0,0,2,15,85,0,0,0,0,0,0
257.0,Cu30Hf70,RMG,Cu,Hf,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
272.0,Cu45Ti55,RMG,Cu,Ti,0,0,0,0,0,0,2,45,55,0,0,0,0,0,0
289.0,Cu65Zr35,RMG,Cu,Zr,0,0,0,0,0,0,2,65,35,0,0,0,0,0,0
360.0,Mg80Ni20,RMG,Mg,Ni,0,0,0,0,0,0,2,80,20,0,0,0,0,0,0
384.0,Nb77Si23,RMG,Nb,Si,0,0,0,0,0,0,2,77,23,0,0,0,0,0,0
413.0,Ni50Zr50,BMG,Ni,Zr,0,0,0,0,0,0,2,50,50,0,0,0,0,0,0
422.0,Ni65Ti35,CRA,Ni,Ti,0,0,0,0,0,0,2,65,35,0,0,0,0,0,0
430.0,Ni80P20,BMG,Ni,P,0,0,0,0,0,0,2,80,20,0,0,0,0,0,0
434.0,Ni81P19,RMG,Ni,P,0,0,0,0,0,0,2,81,19,0,0,0,0,0,0
447.0,Pd81Si19,BMG,Pd,Si,0,0,0,0,0,0,2,81,19,0,0,0,0,0,0
452.0,Pd85Si15,RMG,Pd,Si,0,0,0,0,0,0,2,85,15,0,0,0,0,0,0
484.0,(Fe0.85Ni0.15)83P17,BMG,Fe,Ni,P,0,0,0,0,0,3,70.55,12.45,17,0,0,0,0,0
508.0,Ag15Al10Mg75,RMG,Ag,Al,Mg,0,0,0,0,0,3,15,10,75,0,0,0,0,0
522.0,Ag20Ce5Cu75,CRA,Ag,Ce,Cu,0,0,0,0,0,3,20,5,75,0,0,0,0,0
530.0,Ag21Cu42Fe37,CRA,Ag,Cu,Fe,0,0,0,0,0,3,21,42,37,0,0,0,0,0
542.0,Ag26Cu23Fe51,CRA,Ag,Cu,Fe,0,0,0,0,0,3,26,23,51,0,0,0,0,0
550.0,Ag30Ce3Cu67,CRA,Ag,Ce,Cu,0,0,0,0,0,3,30,3,67,0,0,0,0,0
566.0,Ag35Ce3Cu62,CRA,Ag,Ce,Cu,0,0,0,0,0,3,35,3,62,0,0,0,0,0
583.0,Ag40Ce2Cu58,CRA,Ag,Ce,Cu,0,0,0,0,0,3,40,2,58,0,0,0,0,0
599.0,Ag45Ce3Cu52,RMG,Ag,Ce,Cu,0,0,0,0,0,3,45,3,52,0,0,0,0,0
602.0,Ag46.2Mg15.4Ca38.4,BMG,Ag,Mg,Ca,0,0,0,0,0,3,46.2,15.4,38.4,0,0,0,0,0
623.0,Ag55Ce8Cu37,RMG,Ag,Ce,Cu,0,0,0,0,0,3,55,8,37,0,0,0,0,0
650.0,Ag8.5Pd75Si16.5,RMG,Ag,Pd,Si,0,0,0,0,0,3,8.5,75,16.5,0,0,0,0,0
669.0,Al10Cu20La70,CRA,Al,Cu,La,0,0,0,0,0,3,10,20,70,0,0,0,0,0
672.0,Al10Cu25Ti65,RMG,Al,Cu,Ti,0,0,0,0,0,3,10,25,65,0,0,0,0,0
677.0,Al10Cu36Y54,RMG,Al,Cu,Y,0,0,0,0,0,3,10,36,54,0,0,0,0,0
704.0,Al10La80Ni10,RMG,Al,La,Ni,0,0,0,0,0,3,10,80,10,0,0,0,0,0
732.0,Al10Ni70Zr20,CRA,Al,Ni,Zr,0,0,0,0,0,3,10,70,20,0,0,0,0,0
742.0,Al12B14Ni74,CRA,Al,B,Ni,0,0,0,0,0,3,12,14,74,0,0,0,0,0
796.0,Al15La70Ni15,RMG,Al,La,Ni,0,0,0,0,0,3,15,70,15,0,0,0,0,0
812.0,Al15Ni50Zr35,RMG,Al,Ni,Zr,0,0,0,0,0,3,15,50,35,0,0,0,0,0
