index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
6.0,Ag52Fe48,CRA,Ag,Fe,0,0,0,0,0,0,2,52,48,0,0,0,0,0,0
24.0,Al30Ti70,CRA,Al,Ti,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
28.0,Al40Ca60,RMG,Al,Ca,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
60.0,Al84Sm16,RMG,Al,Sm,0,0,0,0,0,0,2,84,16,0,0,0,0,0,0
67.0,Al86Ni14,CRA,Al,Ni,0,0,0,0,0,0,2,86,14,0,0,0,0,0,0
78.0,Al88Ni12,CRA,Al,Ni,0,0,0,0,0,0,2,88,12,0,0,0,0,0,0
85.0,Al90Ce10,RMG,Al,Ce,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
99.0,Al92Co8,CRA,Al,Co,0,0,0,0,0,0,2,92,8,0,0,0,0,0,0
102.0,Al92Gd8,RMG,Al,Gd,0,0,0,0,0,0,2,92,8,0,0,0,0,0,0
177.0,B30Co70,RMG,B,Co,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
181.0,B34Co66,RMG,B,Co,0,0,0,0,0,0,2,34,66,0,0,0,0,0,0
190.0,B42Ni58,RMG,B,Ni,0,0,0,0,0,0,2,42,58,0,0,0,0,0,0
203.0,Be32.5Zr67.5,RMG,Be,Zr,0,0,0,0,0,0,2,32.5,67.5,0,0,0,0,0,0
268.0,Cu40Mg60,RMG,Cu,Mg,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
270.0,Cu40Y60,RMG,Cu,Y,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
342.0,Hf70Ni30,RMG,Hf,Ni,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
343.0,Hf85Si15,RMG,Hf,Si,0,0,0,0,0,0,2,85,15,0,0,0,0,0,0
354.0,Mg60Zn40,RMG,Mg,Zn,0,0,0,0,0,0,2,60,40,0,0,0,0,0,0
356.0,Mg70Ni30,CRA,Mg,Ni,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
365.0,Mg85Nd15,CRA,Mg,Nd,0,0,0,0,0,0,2,85,15,0,0,0,0,0,0
455.0,Si13Zr87,RMG,Si,Zr,0,0,0,0,0,0,2,13,87,0,0,0,0,0,0
479.0,(Fe0.75Cr0.25)83P17,BMG,Fe,Cr,P,0,0,0,0,0,3,62.25,20.75,17,0,0,0,0,0
489.0,Ag10.5Cu81.9P7.6,RMG,Ag,Cu,P,0,0,0,0,0,3,10.5,81.9,7.6,0,0,0,0,0
506.0,Ag13Cu32Fe55,CRA,Ag,Cu,Fe,0,0,0,0,0,3,13,32,55,0,0,0,0,0
510.0,Ag15Ce6Cu79,RMG,Ag,Ce,Cu,0,0,0,0,0,3,15,6,79,0,0,0,0,0
548.0,Ag29Cu31Fe40,CRA,Ag,Cu,Fe,0,0,0,0,0,3,29,31,40,0,0,0,0,0
553.0,Ag30Cu30Fe40,RMG,Ag,Cu,Fe,0,0,0,0,0,3,30,30,40,0,0,0,0,0
574.0,Ag38.4Mg30.8Ca30.8,BMG,Ag,Mg,Ca,0,0,0,0,0,3,38.4,30.8,30.8,0,0,0,0,0
647.0,Ag70Ce10Cu20,CRA,Ag,Ce,Cu,0,0,0,0,0,3,70,10,20,0,0,0,0,0
661.0,Al10Ca60Ga30,RMG,Al,Ca,Ga,0,0,0,0,0,3,10,60,30,0,0,0,0,0
673.0,Al10Cu25Zr65,RMG,Al,Cu,Zr,0,0,0,0,0,3,10,25,65,0,0,0,0,0
706.0,Al10Mg40Zn50,CRA,Al,Mg,Zn,0,0,0,0,0,3,10,40,50,0,0,0,0,0
733.0,Al10Ni80Zr10,CRA,Al,Ni,Zr,0,0,0,0,0,3,10,80,10,0,0,0,0,0
