index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
13.0,Al10La90,CRA,Al,La,0,0,0,0,0,0,2,10,90,0,0,0,0,0,0
35.0,Al50Cu50,CRA,Al,Cu,0,0,0,0,0,0,2,50,50,0,0,0,0,0,0
46.0,Al70Cu30,CRA,Al,Cu,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
96.0,Al91Ce9,RMG,Al,Ce,0,0,0,0,0,0,2,91,9,0,0,0,0,0,0
108.0,Al92Y8,RMG,Al,Y,0,0,0,0,0,0,2,92,8,0,0,0,0,0,0
110.0,Al94.1Ti5.9,CRA,Al,Ti,0,0,0,0,0,0,2,94.1,5.9,0,0,0,0,0,0
123.0,Al96Fe4,CRA,Al,Fe,0,0,0,0,0,0,2,96,4,0,0,0,0,0,0
143.0,B15Fe85,RMG,B,Fe,0,0,0,0,0,0,2,15,85,0,0,0,0,0,0
176.0,B29Co71,RMG,B,Co,0,0,0,0,0,0,2,29,71,0,0,0,0,0,0
188.0,B40Ni60,RMG,B,Ni,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
217.0,Be50Ti50,CRA,Be,Ti,0,0,0,0,0,0,2,50,50,0,0,0,0,0,0
256.0,Cu28Zr72,CRA,Cu,Zr,0,0,0,0,0,0,2,28,72,0,0,0,0,0,0
302.0,Cu80Ti20,CRA,Cu,Ti,0,0,0,0,0,0,2,80,20,0,0,0,0,0,0
329.0,Fe90Zr10,RMG,Fe,Zr,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
337.0,Hf30Ni70,RMG,Hf,Ni,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
353.0,Mg55Zn45,CRA,Mg,Zn,0,0,0,0,0,0,2,55,45,0,0,0,0,0,0
355.0,Mg65Zn35,RMG,Mg,Zn,0,0,0,0,0,0,2,65,35,0,0,0,0,0,0
376.0,Mg92.5Nd7.5,CRA,Mg,Nd,0,0,0,0,0,0,2,92.5,7.5,0,0,0,0,0,0
378.0,Mg95Nd5,CRA,Mg,Nd,0,0,0,0,0,0,2,95,5,0,0,0,0,0,0
381.0,Mg97.5Nd2.5,CRA,Mg,Nd,0,0,0,0,0,0,2,97.5,2.5,0,0,0,0,0,0
398.0,Ni25Ti75,CRA,Ni,Ti,0,0,0,0,0,0,2,25,75,0,0,0,0,0,0
415.0,Ni60Nb40,BMG,Ni,Nb,0,0,0,0,0,0,2,60,40,0,0,0,0,0,0
416.0,Ni60Nd40,BMG,Ni,Nd,0,0,0,0,0,0,2,60,40,0,0,0,0,0,0
435.0,Ni82P18,RMG,Ni,P,0,0,0,0,0,0,2,82,18,0,0,0,0,0,0
449.0,Pd82Si18,BMG,Pd,Si,0,0,0,0,0,0,2,82,18,0,0,0,0,0,0
462.0,Si5Ti95,CRA,Si,Ti,0,0,0,0,0,0,2,5,95,0,0,0,0,0,0
475.0,(Cu0.5Zr0.5)92Al8,BMG,Cu,Zr,Al,0,0,0,0,0,3,46.0,46.0,8,0,0,0,0,0
516.0,Ag17Cu41Fe42,CRA,Ag,Cu,Fe,0,0,0,0,0,3,17,41,42,0,0,0,0,0
524.0,Ag20Mg20Y60,CRA,Ag,Mg,Y,0,0,0,0,0,3,20,20,60,0,0,0,0,0
540.0,Ag25Mg65Y10,RMG,Ag,Mg,Y,0,0,0,0,0,3,25,65,10,0,0,0,0,0
586.0,Ag40Ce5Cu55,RMG,Ag,Ce,Cu,0,0,0,0,0,3,40,5,55,0,0,0,0,0
596.0,Ag41Cu23Fe36,RMG,Ag,Cu,Fe,0,0,0,0,0,3,41,23,36,0,0,0,0,0
622.0,Ag55Ce6Cu39,RMG,Ag,Ce,Cu,0,0,0,0,0,3,55,6,39,0,0,0,0,0
640.0,Ag62Cu30Fe8,CRA,Ag,Cu,Fe,0,0,0,0,0,3,62,30,8,0,0,0,0,0
649.0,Ag7Cu84.5P8.5,CRA,Ag,Cu,P,0,0,0,0,0,3,7,84.5,8.5,0,0,0,0,0
663.0,Al10Ce2Cu88,CRA,Al,Ce,Cu,0,0,0,0,0,3,10,2,88,0,0,0,0,0
670.0,Al10Cu20Ti70,CRA,Al,Cu,Ti,0,0,0,0,0,3,10,20,70,0,0,0,0,0
694.0,Al10La30Ni60,RMG,Al,La,Ni,0,0,0,0,0,3,10,30,60,0,0,0,0,0
715.0,Al10Ni15Zr75,RMG,Al,Ni,Zr,0,0,0,0,0,3,10,15,75,0,0,0,0,0
789.0,Al15La26Ni59,RMG,Al,La,Ni,0,0,0,0,0,3,15,26,59,0,0,0,0,0
795.0,Al15La65Ni20,RMG,Al,La,Ni,0,0,0,0,0,3,15,65,20,0,0,0,0,0
826.0,Al16B22Ni62,RMG,Al,B,Ni,0,0,0,0,0,3,16,22,62,0,0,0,0,0
847.0,Al20B14Fe66,RMG,Al,B,Fe,0,0,0,0,0,3,20,14,66,0,0,0,0,0
868.0,Al20Cu10La70,CRA,Al,Cu,La,0,0,0,0,0,3,20,10,70,0,0,0,0,0
885.0,Al20La10Ni70,CRA,Al,La,Ni,0,0,0,0,0,3,20,10,70,0,0,0,0,0
935.0,Al24Ni48Zr28,RMG,Al,Ni,Zr,0,0,0,0,0,3,24,48,28,0,0,0,0,0
945.0,Al25Cu35Ti40,RMG,Al,Cu,Ti,0,0,0,0,0,3,25,35,40,0,0,0,0,0
946.0,Al25Cu50Mn25,CRA,Al,Cu,Mn,0,0,0,0,0,3,25,50,25,0,0,0,0,0
947.0,Al25Cu50Ti25,RMG,Al,Cu,Ti,0,0,0,0,0,3,25,50,25,0,0,0,0,0
985.0,Al28B30Ni42,CRA,Al,B,Ni,0,0,0,0,0,3,28,30,42,0,0,0,0,0
987.0,Al28Ni12Zr60,RMG,Al,Ni,Zr,0,0,0,0,0,3,28,12,60,0,0,0,0,0
1003.0,Al2Ni88Zr10,RMG,Al,Ni,Zr,0,0,0,0,0,3,2,88,10,0,0,0,0,0
1005.0,Al30Cu10La60,RMG,Al,Cu,La,0,0,0,0,0,3,30,10,60,0,0,0,0,0
1006.0,Al30Cu10Ti60,CRA,Al,Cu,Ti,0,0,0,0,0,3,30,10,60,0,0,0,0,0
1037.0,Al30Ni20Zr50,RMG,Al,Ni,Zr,0,0,0,0,0,3,30,20,50,0,0,0,0,0
1043.0,Al30Ni42Zr28,RMG,Al,Ni,Zr,0,0,0,0,0,3,30,42,28,0,0,0,0,0
1052.0,Al33Ni22Zr45,RMG,Al,Ni,Zr,0,0,0,0,0,3,33,22,45,0,0,0,0,0
1054.0,Al34La18Ni48,RMG,Al,La,Ni,0,0,0,0,0,3,34,18,48,0,0,0,0,0
1060.0,Al35Cu15La50,RMG,Al,Cu,La,0,0,0,0,0,3,35,15,50,0,0,0,0,0
1063.0,Al35Cu50Ti15,RMG,Al,Cu,Ti,0,0,0,0,0,3,35,50,15,0,0,0,0,0
1064.0,Al35Cu5Ti60,CRA,Al,Cu,Ti,0,0,0,0,0,3,35,5,60,0,0,0,0,0
1077.0,Al40Cu10La50,CRA,Al,Cu,La,0,0,0,0,0,3,40,10,50,0,0,0,0,0
1078.0,Al40Cu10Ti50,CRA,Al,Cu,Ti,0,0,0,0,0,3,40,10,50,0,0,0,0,0
1101.0,Al40Ni20Zr40,CRA,Al,Ni,Zr,0,0,0,0,0,3,40,20,40,0,0,0,0,0
1155.0,Al50Cu20Ti30,CRA,Al,Cu,Ti,0,0,0,0,0,3,50,20,30,0,0,0,0,0
1197.0,Al55Cr10Si35,RMG,Al,Cr,Si,0,0,0,0,0,3,55,10,35,0,0,0,0,0
1202.0,Al55Cu35Ti10,CRA,Al,Cu,Ti,0,0,0,0,0,3,55,35,10,0,0,0,0,0
1211.0,Al55La35Ni10,CRA,Al,La,Ni,0,0,0,0,0,3,55,35,10,0,0,0,0,0
1218.0,Al55Ni25Y20,RMG,Al,Ni,Y,0,0,0,0,0,3,55,25,20,0,0,0,0,0
1235.0,Al58Cr20Si22,CRA,Al,Cr,Si,0,0,0,0,0,3,58,20,22,0,0,0,0,0
1247.0,Al5Cu50Ti45,RMG,Al,Cu,Ti,0,0,0,0,0,3,5,50,45,0,0,0,0,0
1264.0,Al5Ni25Zr70,RMG,Al,Ni,Zr,0,0,0,0,0,3,5,25,70,0,0,0,0,0
