index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
0.0,Ag27Cu73,CRA,Ag,Cu,0,0,0,0,0,0,2,27,73,0,0,0,0,0,0
7.0,Ag55Fe45,CRA,Ag,Fe,0,0,0,0,0,0,2,55,45,0,0,0,0,0,0
10.0,Ag67Fe33,CRA,Ag,Fe,0,0,0,0,0,0,2,67,33,0,0,0,0,0,0
11.0,Ag70Fe30,CRA,Ag,Fe,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
23.0,Al30La70,RMG,Al,La,0,0,0,0,0,0,2,30,70,0,0,0,0,0,0
48.0,Al70Ni30,CRA,Al,Ni,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
51.0,Al80Cr20,CRA,Al,Cr,0,0,0,0,0,0,2,80,20,0,0,0,0,0,0
58.0,Al83Cr17,CRA,Al,Cr,0,0,0,0,0,0,2,83,17,0,0,0,0,0,0
66.0,Al86Nd14,RMG,Al,Nd,0,0,0,0,0,0,2,86,14,0,0,0,0,0,0
91.0,Al90Nd10,RMG,Al,Nd,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
113.0,Al94Cr6,CRA,Al,Cr,0,0,0,0,0,0,2,94,6,0,0,0,0,0,0
132.0,Al98Nd2,CRA,Al,Nd,0,0,0,0,0,0,2,98,2,0,0,0,0,0,0
200.0,Be20Zr80,CRA,Be,Zr,0,0,0,0,0,0,2,20,80,0,0,0,0,0,0
211.0,Be40Zr60,RMG,Be,Zr,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
239.0,Co75Si25,CRA,Co,Si,0,0,0,0,0,0,2,75,25,0,0,0,0,0,0
240.0,Co80Si20,CRA,Co,Si,0,0,0,0,0,0,2,80,20,0,0,0,0,0,0
250.0,Cu10Ti90,CRA,Cu,Ti,0,0,0,0,0,0,2,10,90,0,0,0,0,0,0
265.0,Cu37La63,RMG,Cu,La,0,0,0,0,0,0,2,37,63,0,0,0,0,0,0
293.0,Cu70Nd30,CRA,Cu,Nd,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
303.0,Cu80Zr20,CRA,Cu,Zr,0,0,0,0,0,0,2,80,20,0,0,0,0,0,0
336.0,Ge21Pd79,RMG,Ge,Pd,0,0,0,0,0,0,2,21,79,0,0,0,0,0,0
340.0,Hf60Ni40,RMG,Hf,Ni,0,0,0,0,0,0,2,60,40,0,0,0,0,0,0
348.0,La60Ni40,RMG,La,Ni,0,0,0,0,0,0,2,60,40,0,0,0,0,0,0
370.0,Mg90Mn10,CRA,Mg,Mn,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
470.0,Ag10Al30Ca60,BMG,Ag,Al,Ca,0,0,0,0,0,3,10,30,60,0,0,0,0,0
485.0,(Fe0.85V0.15)83P17,BMG,Fe,V,P,0,0,0,0,0,3,70.55,12.45,17,0,0,0,0,0
498.0,Ag10Mg80Y10,RMG,Ag,Mg,Y,0,0,0,0,0,3,10,80,10,0,0,0,0,0
515.0,Ag17Cu20Fe63,CRA,Ag,Cu,Fe,0,0,0,0,0,3,17,20,63,0,0,0,0,0
520.0,Ag20Ce3Cu77,CRA,Ag,Ce,Cu,0,0,0,0,0,3,20,3,77,0,0,0,0,0
556.0,Ag30Mg40Y30,RMG,Ag,Mg,Y,0,0,0,0,0,3,30,40,30,0,0,0,0,0
558.0,Ag30Mg55Y15,RMG,Ag,Mg,Y,0,0,0,0,0,3,30,55,15,0,0,0,0,0
594.0,Ag40Mg40Y20,RMG,Ag,Mg,Y,0,0,0,0,0,3,40,40,20,0,0,0,0,0
627.0,Ag5Ce8Cu87,CRA,Ag,Ce,Cu,0,0,0,0,0,3,5,8,87,0,0,0,0,0
634.0,Ag60Ce10Cu30,CRA,Ag,Ce,Cu,0,0,0,0,0,3,60,10,30,0,0,0,0,0
679.0,Al10Cu50Ti40,RMG,Al,Cu,Ti,0,0,0,0,0,3,10,50,40,0,0,0,0,0
717.0,Al10Ni25Ti65,RMG,Al,Ni,Ti,0,0,0,0,0,3,10,25,65,0,0,0,0,0
745.0,Al12B22Co66,RMG,Al,B,Co,0,0,0,0,0,3,12,22,66,0,0,0,0,0
783.0,Al15Cu40Ti45,RMG,Al,Cu,Ti,0,0,0,0,0,3,15,40,45,0,0,0,0,0
806.0,Al15Ni25Ti60,RMG,Al,Ni,Ti,0,0,0,0,0,3,15,25,60,0,0,0,0,0
825.0,Al16B22Fe62,RMG,Al,B,Fe,0,0,0,0,0,3,16,22,62,0,0,0,0,0
881.0,Al20Cu50Ti30,RMG,Al,Cu,Ti,0,0,0,0,0,3,20,50,30,0,0,0,0,0
895.0,Al20La70Ni10,RMG,Al,La,Ni,0,0,0,0,0,3,20,70,10,0,0,0,0,0
907.0,Al20Ni2Zr78,RMG,Al,Ni,Zr,0,0,0,0,0,3,20,2,78,0,0,0,0,0
915.0,Al20Ni50Zr30,RMG,Al,Ni,Zr,0,0,0,0,0,3,20,50,30,0,0,0,0,0
922.0,Al22.5Fe67.5Zr10,RMG,Al,Fe,Zr,0,0,0,0,0,3,22.5,67.5,10,0,0,0,0,0
932.0,Al24B40Co36,RMG,Al,B,Co,0,0,0,0,0,3,24,40,36,0,0,0,0,0
991.0,Al2Ce8Cu90,CRA,Al,Ce,Cu,0,0,0,0,0,3,2,8,90,0,0,0,0,0
993.0,Al2Cu88Nd10,CRA,Al,Cu,Nd,0,0,0,0,0,3,2,88,10,0,0,0,0,0
1000.0,Al2La82Ni16,RMG,Al,La,Ni,0,0,0,0,0,3,2,82,16,0,0,0,0,0
1051.0,Al33.4Fe33.3Gd33.3,RMG,Al,Fe,Gd,0,0,0,0,0,3,33.4,33.3,33.3,0,0,0,0,0
1072.0,Al36Ni30Zr34,RMG,Al,Ni,Zr,0,0,0,0,0,3,36,30,34,0,0,0,0,0
1085.0,Al40Cu50Ti10,RMG,Al,Cu,Ti,0,0,0,0,0,3,40,50,10,0,0,0,0,0
1119.0,Al45Cu5Ti50,CRA,Al,Cu,Ti,0,0,0,0,0,3,45,5,50,0,0,0,0,0
1177.0,Al50Mn20Si30,RMG,Al,Mn,Si,0,0,0,0,0,3,50,20,30,0,0,0,0,0
1208.0,Al55La20Ni25,RMG,Al,La,Ni,0,0,0,0,0,3,55,20,25,0,0,0,0,0
1212.0,Al55La37Ni8,RMG,Al,La,Ni,0,0,0,0,0,3,55,37,8,0,0,0,0,0
1242.0,Al59Ni32Zr9,RMG,Al,Ni,Zr,0,0,0,0,0,3,59,32,9,0,0,0,0,0
1263.0,Al5Ni20Zr75,RMG,Al,Ni,Zr,0,0,0,0,0,3,5,20,75,0,0,0,0,0
1287.0,Al60Cr30Si10,CRA,Al,Cr,Si,0,0,0,0,0,3,60,30,10,0,0,0,0,0
1307.0,Al60Ni10Zr30,CRA,Al,Ni,Zr,0,0,0,0,0,3,60,10,30,0,0,0,0,0
1322.0,Al63La20Ni17,RMG,Al,La,Ni,0,0,0,0,0,3,63,20,17,0,0,0,0,0
1323.0,Al64Ce23Fe13,CRA,Al,Ce,Fe,0,0,0,0,0,3,64,23,13,0,0,0,0,0
1389.0,Al6Ce8Cu86,CRA,Al,Ce,Cu,0,0,0,0,0,3,6,8,86,0,0,0,0,0
1417.0,Al70Gd10Ni20,RMG,Al,Gd,Ni,0,0,0,0,0,3,70,10,20,0,0,0,0,0
1431.0,Al70Nd20Ni10,CRA,Al,Nd,Ni,0,0,0,0,0,3,70,20,10,0,0,0,0,0
1452.0,Al72.5Mn17.4Si10.1,CRA,Al,Mn,Si,0,0,0,0,0,3,72.5,17.4,10.1,0,0,0,0,0
1477.0,Al75Cr15Si10,CRA,Al,Cr,Si,0,0,0,0,0,3,75,15,10,0,0,0,0,0
1608.0,Al83Gd9Ni8,RMG,Al,Gd,Ni,0,0,0,0,0,3,83,9,8,0,0,0,0,0
1616.0,Al83Ni8Sm9,RMG,Al,Ni,Sm,0,0,0,0,0,3,83,8,9,0,0,0,0,0
1645.0,Al85Ca10Cu5,RMG,Al,Ca,Cu,0,0,0,0,0,3,85,10,5,0,0,0,0,0
1683.0,Al85La5Ni10,RMG,Al,La,Ni,0,0,0,0,0,3,85,5,10,0,0,0,0,0
1700.0,Al85Ni5Sm10,RMG,Al,Ni,Sm,0,0,0,0,0,3,85,5,10,0,0,0,0,0
1710.0,Al86Co10Fe4,CRA,Al,Co,Fe,0,0,0,0,0,3,86,10,4,0,0,0,0,0
1728.0,Al86Fe4Ni10,CRA,Al,Fe,Ni,0,0,0,0,0,3,86,4,10,0,0,0,0,0
1750.0,Al87.5Ca7.5Fe5,RMG,Al,Ca,Fe,0,0,0,0,0,3,87.5,7.5,5,0,0,0,0,0
1752.0,Al87.5Fe0.5Ni12,RMG,Al,Fe,Ni,0,0,0,0,0,3,87.5,0.5,12,0,0,0,0,0
1755.0,Al87.5Mn0.5Ni12,RMG,Al,Mn,Ni,0,0,0,0,0,3,87.5,0.5,12,0,0,0,0,0
1763.0,Al87Ce8Fe5,RMG,Al,Ce,Fe,0,0,0,0,0,3,87,8,5,0,0,0,0,0
1764.0,Al87Ce8Mn5,CRA,Al,Ce,Mn,0,0,0,0,0,3,87,8,5,0,0,0,0,0
1772.0,Al87Fe1Ni12,RMG,Al,Fe,Ni,0,0,0,0,0,3,87,1,12,0,0,0,0,0
1779.0,Al87Mn2.5Ni10.5,RMG,Al,Mn,Ni,0,0,0,0,0,3,87,2.5,10.5,0,0,0,0,0
1783.0,Al87Ni10Zr3,RMG,Al,Ni,Zr,0,0,0,0,0,3,87,10,3,0,0,0,0,0
1794.0,Al88Ce10Nb2,RMG,Al,Ce,Nb,0,0,0,0,0,3,88,10,2,0,0,0,0,0
1805.0,Al88Co10Ni2,CRA,Al,Co,Ni,0,0,0,0,0,3,88,10,2,0,0,0,0,0
1827.0,Al88Fe3Ni9,RMG,Al,Fe,Ni,0,0,0,0,0,3,88,3,9,0,0,0,0,0
1830.0,Al88Fe6Ni6,CRA,Al,Fe,Ni,0,0,0,0,0,3,88,6,6,0,0,0,0,0
1849.0,Al88Ni7Zr5,RMG,Al,Ni,Zr,0,0,0,0,0,3,88,7,5,0,0,0,0,0
