index,Formula,Phase,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8,CantElemen,Compo1,Compo2,Compo3,Compo4,Compo5,Compo6,Compo7,Compo8
21.0,Al25Zr75,CRA,Al,Zr,0,0,0,0,0,0,2,25,75,0,0,0,0,0,0
84.0,Al90Ca10,RMG,Al,Ca,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
118.0,Al94Ni6,CRA,Al,Ni,0,0,0,0,0,0,2,94,6,0,0,0,0,0,0
150.0,B17Fe83,BMG,B,Fe,0,0,0,0,0,0,2,17,83,0,0,0,0,0,0
162.0,B21Fe79,CRA,B,Fe,0,0,0,0,0,0,2,21,79,0,0,0,0,0,0
192.0,B48Ni52,CRA,B,Ni,0,0,0,0,0,0,2,48,52,0,0,0,0,0,0
212.0,Be41Ti59,RMG,Be,Ti,0,0,0,0,0,0,2,41,59,0,0,0,0,0,0
221.0,C10Ni90,CRA,C,Ni,0,0,0,0,0,0,2,10,90,0,0,0,0,0,0
228.0,Ca11Mg89,CRA,Ca,Mg,0,0,0,0,0,0,2,11,89,0,0,0,0,0,0
252.0,Cu20La80,CRA,Cu,La,0,0,0,0,0,0,2,20,80,0,0,0,0,0,0
271.0,Cu40Zr60,RMG,Cu,Zr,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
281.0,Cu56Zr44,RMG,Cu,Zr,0,0,0,0,0,0,2,56,44,0,0,0,0,0,0
300.0,Cu76Fe24,CRA,Cu,Fe,0,0,0,0,0,0,2,76,24,0,0,0,0,0,0
333.0,Ge13Zr87,RMG,Ge,Zr,0,0,0,0,0,0,2,13,87,0,0,0,0,0,0
338.0,Hf40Ni60,RMG,Hf,Ni,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
345.0,La40Ni60,CRA,La,Ni,0,0,0,0,0,0,2,40,60,0,0,0,0,0,0
349.0,La70Ni30,RMG,La,Ni,0,0,0,0,0,0,2,70,30,0,0,0,0,0,0
358.0,Mg75Y25,CRA,Mg,Y,0,0,0,0,0,0,2,75,25,0,0,0,0,0,0
374.0,Mg90Zn10,CRA,Mg,Zn,0,0,0,0,0,0,2,90,10,0,0,0,0,0,0
393.0,Ni15Ti85,CRA,Ni,Ti,0,0,0,0,0,0,2,15,85,0,0,0,0,0,0
